time,precipitation_sum (mm),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),relative_humidity_2m_mean (%),wind_speed_10m_max (km/h),soil_moisture_0_to_7cm_mean (m³/m³),slope_deg,elevation_m,soil_depth_m,geology_susceptibility,ndvi,land_use,seismic_pga (g),pore_water_pressure (kPa),distance_to_road (km),distance_to_stream (km),aspect_deg,curvature,rain_3d_sum (mm),rain_7d_sum (mm),rain_14d_sum (mm),antecedent_precip_index (mm)
19-01-2010,0.1,4.9,8.8,-1.8,68.6,12.2,0.1989,35.6,2154.0,2.19,0.805,0.466,1,0.0003,8.81,1.56,0.21,16.7,0.247,0.8,2.3,4.5,1.96
20-01-2010,0.1,8.4,13.3,4.8,65.3,4.0,0.1793,44.3,1964.0,1.63,0.671,0.468,3,0.0041,8.92,0.11,0.49,120.5,0.028,0.6,2.1,4.3,1.77
21-01-2010,0.2,5.2,10.4,0.4,69.2,4.4,0.1615,28.9,2011.0,1.79,0.627,0.48,0,0.0091,4.49,1.84,0.31,23.8,-0.02,0.4,1.4,4.3,1.7
22-01-2010,0.2,4.2,10.4,-1.8,68.3,1.5,0.3666,36.4,2000.0,2.36,0.772,0.287,0,0.023,18.25,1.02,1.64,207.8,0.184,0.5,1.4,4.2,1.65
23-01-2010,0.1,8.0,11.9,3.2,78.2,9.4,0.2326,52.1,2093.0,2.13,0.705,0.323,1,0.0,10.63,2.27,1.02,151.4,-0.675,0.5,1.4,3.6,1.5
24-01-2010,0.1,5.5,11.9,0.8,61.6,5.4,0.2257,36.7,2005.0,1.8,0.724,0.338,2,0.0037,13.75,2.68,0.97,281.4,-0.629,0.4,1.2,3.4,1.38
25-01-2010,0.5,2.6,7.0,-0.6,75.9,2.2,0.2927,30.5,2003.0,2.19,0.744,0.345,1,0.0016,14.16,0.27,0.7,118.6,0.171,0.7,1.3,3.6,1.67
26-01-2010,0.2,2.6,8.8,-0.8,66.8,10.2,0.1548,25.4,2014.0,1.47,0.714,0.511,0,0.0358,6.74,1.17,1.16,295.3,0.123,0.8,1.4,3.7,1.62
27-01-2010,0.9,8.5,14.4,1.8,74.1,3.0,0.2802,27.8,2070.0,2.1,0.739,0.51,2,0.0133,15.14,0.59,0.31,61.8,0.367,1.6,2.2,4.3,2.28
28-01-2010,0.1,6.7,12.0,1.8,63.4,7.2,0.2245,34.7,2012.0,1.87,0.732,0.351,1,0.0016,8.88,0.44,0.31,236.1,0.234,1.2,2.1,3.5,2.03
29-01-2010,0.5,5.5,9.9,-0.4,72.3,6.6,0.0683,50.0,2098.0,2.27,0.666,0.499,1,0.0154,5.22,0.39,0.33,65.4,-0.434,1.5,2.4,3.8,2.23
30-01-2010,0.3,2.2,8.8,-3.4,55.8,1.6,0.3428,25.9,2057.0,1.54,0.705,0.274,1,0.001,15.01,0.2,0.71,264.2,-0.151,0.9,2.6,4.0,2.2
31-01-2010,0.1,4.0,10.6,-0.9,55.2,2.5,0.2517,42.8,2103.0,1.68,0.598,0.283,0,0.0162,11.57,8.04,0.05,41.2,0.288,0.9,2.6,3.8,1.97
01-02-2010,0.9,3.9,10.5,-1.9,55.5,3.6,0.3088,27.9,2042.0,1.75,0.693,0.268,1,0.1027,17.89,0.34,0.67,56.2,0.075,1.3,3.0,4.3,2.57
02-02-2010,0.9,7.3,11.5,0.8,70.8,1.0,0.1712,27.0,2080.0,2.71,0.782,0.36,0,0.0183,10.41,1.23,1.46,107.9,-0.156,1.9,3.7,5.1,3.09
03-02-2010,0.7,9.1,14.6,2.2,48.3,3.5,0.2155,47.3,2110.0,3.01,0.689,0.448,2,0.0112,7.77,1.37,0.42,207.6,-0.56,2.5,3.5,5.7,3.32
04-02-2010,0.4,6.0,11.3,0.5,67.4,3.0,0.1726,29.4,1997.0,1.89,0.731,0.337,0,0.0016,9.39,1.06,0.98,292.1,-0.205,2.0,3.8,5.9,3.22
05-02-2010,1.3,7.7,11.8,4.3,52.9,12.8,0.2673,45.5,2092.0,1.5,0.822,0.429,0,0.0046,14.7,2.28,0.66,324.9,0.507,2.4,4.6,7.0,4.04
06-02-2010,1.5,5.5,12.5,1.5,52.1,7.2,0.1892,37.0,2019.0,2.24,0.747,0.673,0,0.0309,7.05,0.35,0.14,352.6,0.058,3.2,5.8,8.4,4.93
07-02-2010,1.0,4.4,10.3,0.0,75.5,6.3,0.1837,48.0,2119.0,1.65,0.695,0.256,1,0.0009,10.89,4.27,0.98,90.8,0.109,3.8,6.7,9.3,5.19
08-02-2010,0.4,8.1,12.2,3.6,61.3,7.4,0.1568,48.9,2032.0,1.95,0.611,0.407,2,0.0012,8.08,0.33,2.07,0.2,-0.087,2.9,6.2,9.2,4.82
09-02-2010,1.2,13.5,16.8,8.2,48.3,11.4,0.05,56.3,2022.0,1.63,0.727,0.465,3,0.0002,2.66,0.86,1.59,230.7,0.493,2.6,6.5,10.2,5.29
10-02-2010,0.2,8.2,12.9,3.1,75.1,0.8,0.1633,32.4,2004.0,2.26,0.613,0.48,0,0.0094,7.68,0.1,1.22,9.5,-0.077,1.8,6.0,9.5,4.7
11-02-2010,0.8,6.2,9.7,1.2,60.6,11.6,0.2885,43.3,2097.0,1.72,0.709,0.481,0,0.0008,12.25,1.17,0.32,311.0,0.085,2.2,6.4,10.2,4.79
12-02-2010,0.2,10.4,14.4,3.6,56.8,4.9,0.1191,18.9,2005.0,1.89,0.707,0.452,1,0.0076,4.9,0.87,0.33,138.9,-0.437,1.2,5.3,9.9,4.27
13-02-2010,1.0,5.9,9.4,1.5,67.6,6.3,0.2892,32.5,1988.0,2.01,0.743,0.165,1,0.0013,17.55,2.97,1.21,344.2,0.14,2.0,4.8,10.6,4.63
14-02-2010,1.1,8.0,14.1,1.7,70.8,5.4,0.0969,29.0,1954.0,2.5,0.678,0.349,1,0.0253,5.21,2.8,1.15,36.3,-0.112,2.3,4.9,11.6,5.04
15-02-2010,0.4,8.1,13.4,2.0,50.0,2.2,0.0513,36.4,2047.0,1.86,0.743,0.502,1,0.0159,5.4,3.32,1.09,97.3,0.085,2.5,4.9,11.1,4.68
16-02-2010,1.0,8.5,13.2,4.9,49.2,3.3,0.1199,34.4,2025.0,2.11,0.656,0.345,0,0.0153,7.23,2.07,2.46,316.6,-0.317,2.5,4.7,11.2,4.98
17-02-2010,0.9,8.7,15.1,2.0,58.3,11.8,0.1441,37.6,2029.0,2.44,0.722,0.362,1,0.0186,7.11,5.6,0.28,298.6,-0.054,2.3,5.4,11.4,5.13
18-02-2010,0.6,5.9,11.3,2.4,59.1,3.2,0.1298,47.0,2064.0,1.94,0.743,0.303,0,0.0131,7.71,0.52,0.33,232.9,-0.196,2.5,5.2,11.6,4.96
19-02-2010,0.4,6.6,14.2,1.6,59.5,7.0,0.05,38.3,2087.0,2.7,0.808,0.528,0,0.0036,0.0,6.24,0.99,15.4,0.232,1.9,5.4,10.7,4.62
20-02-2010,0.9,10.4,17.7,4.2,58.1,4.2,0.1155,28.5,1962.0,1.93,0.691,0.348,0,0.0097,7.02,1.61,0.21,196.5,0.495,1.9,5.3,10.1,4.83
21-02-2010,0.3,9.0,16.4,5.1,66.5,3.6,0.1412,33.6,1989.0,2.25,0.712,0.466,1,0.0322,5.64,0.72,0.72,40.5,-0.059,1.6,4.5,9.4,4.4
22-02-2010,0.3,8.4,14.6,1.7,41.1,1.7,0.0724,31.6,2098.0,1.73,0.73,0.405,0,0.001,5.18,0.1,2.32,209.0,0.162,1.5,4.4,9.3,4.04
23-02-2010,0.9,5.5,12.0,1.7,68.3,10.7,0.2088,41.7,2098.0,1.94,0.795,0.45,1,0.0074,7.68,0.71,3.92,341.5,0.506,1.5,4.3,9.0,4.34
24-02-2010,0.6,9.1,16.5,2.6,34.0,2.7,0.2324,38.6,2071.0,1.81,0.738,0.302,1,0.0087,12.12,0.1,1.03,252.9,0.432,1.8,4.0,9.4,4.29
25-02-2010,0.1,9.3,17.0,6.0,74.1,10.2,0.1403,26.3,1972.0,2.49,0.844,0.301,3,0.0334,7.93,0.83,0.89,194.3,-0.054,1.6,3.5,8.7,3.74
26-02-2010,0.5,9.8,14.8,5.9,77.1,16.4,0.293,28.6,2030.0,2.35,0.786,0.362,2,0.0114,11.47,0.18,0.15,290.6,0.129,1.2,3.6,9.0,3.68
27-02-2010,0.1,8.6,16.3,1.7,51.0,10.1,0.3203,20.9,2121.0,1.82,0.773,0.434,1,0.005,13.61,1.48,0.58,110.6,-0.218,0.7,2.8,8.1,3.23
28-02-2010,1.0,7.3,13.4,3.0,56.6,6.4,0.056,39.7,2006.0,1.72,0.702,0.32,0,0.0417,3.83,2.48,0.55,359.8,0.429,1.6,3.5,8.0,3.74
01-03-2010,0.5,11.8,17.2,7.7,56.2,20.5,0.1623,26.0,2137.0,1.83,0.82,0.395,0,0.0006,9.73,0.1,0.39,91.6,0.398,1.6,3.7,8.1,3.68
02-03-2010,1.9,14.0,19.1,7.6,65.4,6.1,0.1846,18.5,2007.0,1.96,0.676,0.37,1,0.0087,8.43,0.4,0.07,37.1,-0.347,3.4,4.7,9.0,5.03
03-03-2010,0.3,11.4,17.8,6.6,37.7,1.2,0.2746,28.9,2051.0,2.03,0.655,0.695,1,0.0008,14.81,3.19,1.96,218.8,-0.037,2.7,4.4,8.4,4.58
04-03-2010,2.5,11.7,17.8,7.0,45.1,12.6,0.1601,21.2,1995.0,2.23,0.737,0.454,0,0.0012,7.08,1.49,1.98,176.4,-0.223,4.7,6.8,10.3,6.39
05-03-2010,0.7,10.4,14.5,5.4,46.8,4.0,0.2221,37.9,2043.0,1.77,0.646,0.2,0,0.0018,14.4,0.37,0.53,283.0,-0.449,3.5,7.0,10.6,6.13
06-03-2010,2.0,12.8,18.8,8.5,61.3,7.4,0.2496,34.7,2031.0,1.22,0.681,0.551,0,0.0049,16.21,2.57,2.09,97.6,0.212,5.2,8.9,11.7,7.21
07-03-2010,0.6,12.4,19.5,9.1,56.6,4.3,0.158,28.1,2046.0,2.48,0.615,0.165,0,0.0006,13.71,4.35,0.92,318.1,-0.072,3.3,8.5,12.0,6.73
08-03-2010,5.1,11.6,19.5,7.4,76.8,11.5,0.2029,28.1,2011.0,2.75,0.71,0.627,1,0.0015,11.3,2.12,0.44,104.6,-0.105,7.7,13.1,16.8,10.82
09-03-2010,2.4,16.0,20.1,12.5,65.6,11.0,0.1656,25.7,2062.0,2.23,0.746,0.691,1,0.0016,9.25,1.11,2.62,265.2,-0.014,8.1,13.6,18.3,11.6
10-03-2010,0.7,12.7,20.7,5.9,66.3,3.9,0.2299,42.9,2027.0,1.67,0.726,0.403,1,0.0024,13.1,0.1,0.37,285.6,-0.21,8.2,14.0,18.4,10.56
11-03-2010,1.7,12.3,18.5,7.7,63.9,25.7,0.0879,43.4,2014.0,2.72,0.654,0.352,3,0.002,3.6,0.99,0.33,76.3,0.255,4.8,13.2,20.0,10.67
12-03-2010,0.4,13.9,17.3,7.6,59.5,1.6,0.3235,34.8,2034.0,2.28,0.795,0.617,0,0.0023,18.25,2.34,0.59,223.9,0.17,2.8,12.9,19.9,9.47
13-03-2010,2.5,15.3,19.8,11.2,64.0,3.7,0.2752,36.3,1971.0,1.89,0.698,0.177,0,0.0025,12.9,3.37,0.1,334.2,-0.316,4.6,13.4,22.3,10.55
14-03-2010,1.1,10.4,13.5,3.7,59.0,6.5,0.2681,40.0,2020.0,2.39,0.758,0.287,1,0.0019,13.03,0.4,1.73,167.9,0.049,4.0,13.9,22.4,10.07
15-03-2010,2.0,13.6,19.9,8.6,73.2,3.2,0.2572,47.9,2040.0,2.56,0.645,0.481,3,0.0142,13.38,2.29,1.83,37.3,0.421,5.6,10.8,23.9,10.56
16-03-2010,2.2,12.8,16.0,9.6,57.6,2.1,0.2412,22.2,2065.0,2.1,0.799,0.376,3,0.0092,12.22,6.11,0.36,18.5,0.348,5.3,10.6,24.2,11.17
17-03-2010,1.8,10.8,16.4,4.5,63.9,6.3,0.2043,41.2,1967.0,2.39,0.711,0.366,0,0.0039,11.75,1.19,0.26,151.1,-0.122,6.0,11.7,25.7,11.3
18-03-2010,0.1,11.2,19.1,6.0,58.3,1.2,0.1097,42.0,1988.0,2.06,0.685,0.345,0,0.0018,7.98,1.21,0.25,81.4,-0.244,4.1,10.1,23.3,9.7
19-03-2010,1.2,11.9,17.4,6.7,67.9,0.7,0.1775,13.4,2064.0,2.06,0.663,0.675,0,0.0004,6.64,1.63,0.05,117.7,-0.418,3.1,10.9,23.8,9.45
20-03-2010,1.4,9.9,12.9,4.8,61.1,3.9,0.2925,45.1,2040.0,2.0,0.698,0.352,0,0.028,16.4,2.88,1.64,170.7,0.186,2.7,9.8,23.2,9.43
21-03-2010,0.8,11.6,16.4,8.3,55.1,4.5,0.2542,45.1,2076.0,1.89,0.862,0.3,0,0.0123,9.96,4.62,0.21,343.2,-0.017,3.4,9.5,23.4,8.82
22-03-2010,1.6,13.4,17.9,6.9,48.2,9.5,0.2183,29.8,2000.0,1.84,0.736,0.423,0,0.0017,12.86,0.71,0.24,22.4,-0.556,3.8,9.1,19.9,9.09
23-03-2010,1.1,11.7,15.5,6.5,49.8,11.7,0.1985,47.5,2086.0,2.56,0.734,0.273,0,0.0276,10.5,0.12,0.89,175.3,0.39,3.5,8.0,18.6,8.83
24-03-2010,0.3,12.2,18.3,7.6,62.6,2.1,0.1789,26.7,2002.0,1.74,0.739,0.565,0,0.0012,10.3,2.89,2.04,235.7,-0.183,3.0,6.5,18.2,7.81
25-03-2010,1.9,8.5,12.0,2.2,52.8,10.8,0.3698,31.3,1998.0,2.92,0.679,0.294,0,0.0006,20.79,1.01,0.19,229.2,0.366,3.3,8.3,18.4,8.53
26-03-2010,2.3,11.7,15.0,7.2,45.7,7.7,0.092,24.2,2030.0,1.92,0.784,0.223,0,0.001,4.3,0.92,0.09,277.2,-0.451,4.5,9.4,20.3,9.55
27-03-2010,4.7,12.2,18.2,6.2,63.1,5.1,0.1685,49.3,2068.0,1.47,0.698,0.467,1,0.0115,6.76,0.91,1.99,141.4,-0.356,8.9,12.7,22.5,12.82
28-03-2010,3.8,15.8,21.7,9.4,57.9,2.6,0.1221,38.0,2002.0,1.79,0.837,0.341,2,0.0113,7.5,0.33,0.43,140.8,-0.243,10.8,15.7,25.2,14.7
29-03-2010,1.7,10.1,15.4,7.0,55.7,5.4,0.1389,14.2,2029.0,2.32,0.736,0.365,1,0.0097,8.22,0.54,0.79,184.4,0.314,10.2,15.8,24.9,14.19
30-03-2010,0.4,8.9,15.5,2.8,73.9,19.5,0.1282,26.8,2076.0,2.37,0.738,0.475,0,0.0026,7.2,0.91,1.75,24.3,-0.35,5.9,15.1,23.1,12.46
31-03-2010,2.5,11.9,16.0,6.8,66.2,2.1,0.1666,36.2,1994.0,1.87,0.714,0.402,1,0.0042,6.11,3.38,0.56,167.5,0.142,4.6,17.3,23.8,13.09
01-04-2010,1.7,17.1,24.0,13.0,72.8,3.5,0.2251,33.9,2096.0,1.99,0.703,0.536,1,0.013,12.23,8.14,0.2,64.0,-0.325,4.6,17.1,25.4,12.83
02-04-2010,2.3,13.8,19.5,8.2,53.4,2.1,0.1878,35.2,2195.0,2.07,0.676,0.365,0,0.0045,9.12,0.25,2.58,107.4,0.334,6.5,17.1,26.5,13.21
03-04-2010,0.7,15.3,21.6,8.9,49.3,0.7,0.2608,23.7,2101.0,1.82,0.82,0.528,0,0.0108,14.33,0.11,0.31,326.2,-0.014,4.7,13.1,25.8,11.93
04-04-2010,3.8,15.7,23.0,10.8,66.2,0.5,0.3208,41.1,2058.0,1.4,0.794,0.339,1,0.0053,16.48,0.81,2.65,43.5,0.275,6.8,13.1,28.8,13.94
05-04-2010,5.4,19.9,24.7,14.0,74.4,8.0,0.2082,22.2,2051.0,2.33,0.725,0.445,0,0.0152,14.27,1.66,0.08,94.5,-0.065,9.9,16.8,32.6,17.25
06-04-2010,8.6,16.8,21.7,13.3,68.3,12.7,0.1836,43.6,2131.0,1.95,0.701,0.48,0,0.0008,15.0,5.17,1.02,348.2,0.283,17.8,25.0,40.1,23.26
07-04-2010,0.9,16.8,23.2,10.4,69.9,2.9,0.2763,46.6,1999.0,2.45,0.658,0.448,1,0.0242,16.26,3.43,0.69,35.3,0.4,14.9,23.4,40.7,20.67
08-04-2010,2.8,17.6,23.4,11.6,44.3,3.1,0.0934,47.1,2038.0,1.99,0.786,0.373,3,0.0016,5.37,2.55,0.27,81.1,0.43,12.3,24.5,41.6,20.37
09-04-2010,0.8,15.6,22.0,10.0,76.0,6.2,0.2938,39.4,2032.0,2.56,0.685,0.26,1,0.006,12.31,0.94,2.8,178.1,0.074,4.5,23.0,40.1,18.11
10-04-2010,0.0,19.1,22.4,14.6,57.6,5.9,0.2758,41.2,2052.0,1.86,0.667,0.446,0,0.009,14.13,2.13,0.22,238.6,0.199,3.6,22.3,35.4,15.4
11-04-2010,3.9,14.9,22.8,10.3,49.4,11.1,0.078,38.9,2039.0,1.73,0.714,0.55,0,0.0005,5.91,0.1,1.14,63.5,-0.317,4.7,22.4,35.5,16.99
12-04-2010,0.6,15.1,22.0,9.4,58.4,6.9,0.3653,40.1,1993.0,2.87,0.688,0.227,0,0.0045,21.71,2.6,1.47,111.2,-0.065,4.5,17.6,34.4,15.04
13-04-2010,1.6,16.2,19.2,12.3,47.9,8.8,0.05,45.4,2027.0,1.71,0.695,0.305,0,0.004,3.25,1.99,0.63,213.0,-0.647,6.1,10.6,35.6,14.38
14-04-2010,4.1,17.2,23.2,10.8,52.7,1.1,0.2122,26.4,2071.0,1.74,0.747,0.497,0,0.0004,10.26,0.75,0.13,309.1,-0.198,6.3,13.8,37.2,16.33
15-04-2010,1.7,18.4,22.4,13.4,55.4,5.0,0.2852,45.0,2099.0,1.17,0.766,0.481,0,0.0009,14.7,0.38,0.94,255.0,0.287,7.4,12.7,37.2,15.58
16-04-2010,4.8,16.6,20.7,11.0,70.3,2.4,0.05,23.5,2063.0,1.26,0.689,0.531,3,0.0028,5.47,1.72,2.3,35.9,-0.425,10.6,16.7,39.7,18.04
17-04-2010,2.9,15.6,23.5,10.4,70.8,29.6,0.1935,42.6,2116.0,2.3,0.742,0.4,3,0.0034,10.49,2.03,3.21,82.7,0.234,9.4,19.6,41.9,18.23
18-04-2010,2.2,15.7,18.8,12.1,65.6,4.1,0.2721,35.3,2004.0,2.09,0.74,0.431,0,0.0081,12.75,1.66,0.24,351.7,-0.216,9.9,17.9,40.3,17.7
19-04-2010,5.5,17.2,23.7,13.7,51.3,4.2,0.1735,34.2,2086.0,2.57,0.735,0.525,0,0.0014,12.58,0.2,0.44,206.6,0.259,10.6,22.8,40.4,20.54
20-04-2010,3.6,15.5,23.5,8.7,62.5,7.7,0.0805,22.5,1968.0,2.14,0.747,0.145,0,0.0052,5.7,3.04,2.45,199.0,0.418,11.3,24.8,35.4,21.06
21-04-2010,2.5,14.9,21.6,11.8,70.4,4.9,0.1553,23.3,2029.0,1.84,0.633,0.442,3,0.0011,9.29,2.13,1.14,242.1,-0.095,11.6,23.2,37.0,20.4
22-04-2010,2.8,14.8,21.6,11.0,53.5,4.5,0.0976,45.1,2006.0,1.56,0.767,0.438,0,0.0015,6.51,1.81,1.03,304.8,0.247,8.9,24.3,37.0,20.14
23-04-2010,0.2,18.6,26.0,14.7,50.1,7.5,0.1466,35.9,2099.0,1.65,0.717,0.448,3,0.0075,8.33,1.32,0.84,224.9,0.359,5.5,19.7,36.4,17.32
24-04-2010,4.4,14.9,20.0,8.9,47.2,4.6,0.1651,28.0,2005.0,2.46,0.793,0.633,2,0.0075,11.97,0.4,0.28,219.0,0.042,7.4,21.2,40.8,19.12
25-04-2010,4.5,14.9,21.5,10.8,71.4,3.9,0.2795,46.4,2057.0,2.32,0.646,0.471,0,0.0023,13.22,0.1,0.57,226.0,0.221,9.1,23.5,41.4,20.75
26-04-2010,1.6,19.2,22.4,13.9,66.9,6.7,0.1718,29.5,2207.0,1.66,0.805,0.455,2,0.0158,11.93,4.51,0.06,119.9,0.192,10.5,19.6,42.4,19.24
27-04-2010,6.4,18.7,24.1,13.3,60.1,3.8,0.2368,39.1,2048.0,2.8,0.722,0.63,1,0.007,14.83,2.85,0.21,83.8,0.541,12.5,22.4,47.2,22.76
28-04-2010,2.2,18.6,22.3,12.4,55.9,0.9,0.2238,27.2,2045.0,1.86,0.745,0.22,1,0.0019,11.3,5.32,0.83,175.4,0.527,10.2,22.1,45.3,21.54
29-04-2010,2.4,14.7,19.8,9.2,71.5,7.9,0.3575,46.3,1962.0,1.71,0.678,0.416,0,0.0186,20.99,2.26,1.1,226.1,0.353,11.0,21.7,46.0,20.71
30-04-2010,1.7,15.9,23.6,11.4,75.2,6.2,0.1612,36.5,2115.0,1.62,0.682,0.321,2,0.018,7.08,0.1,0.09,105.9,0.584,6.3,23.2,42.9,19.3
01-05-2010,7.2,18.6,23.1,13.9,58.0,4.2,0.1567,38.9,2039.0,2.33,0.739,0.414,3,0.0264,10.05,1.53,1.43,158.4,-0.267,11.3,26.0,47.2,23.61
02-05-2010,9.8,18.6,24.4,12.7,58.2,5.4,0.2784,33.7,1971.0,1.3,0.663,0.37,1,0.03,18.1,1.07,0.05,267.0,0.243,18.7,31.3,54.8,29.87
03-05-2010,6.4,18.1,24.8,13.9,51.7,5.2,0.2599,46.1,2058.0,1.53,0.68,0.404,3,0.0118,18.29,2.93,0.45,109.6,0.262,23.4,36.1,55.7,31.79
04-05-2010,3.7,18.9,26.3,15.8,46.4,5.8,0.1116,44.7,2051.0,2.02,0.75,0.501,0,0.0036,5.29,9.25,0.44,324.3,-0.008,19.9,33.4,55.8,30.72
05-05-2010,2.6,18.1,25.0,14.8,60.5,2.1,0.1502,34.4,2061.0,1.65,0.756,0.299,1,0.0008,7.5,5.12,0.13,356.0,-0.266,12.7,33.8,55.9,28.71
06-05-2010,10.4,17.2,21.9,12.6,47.6,17.3,0.1423,43.2,1978.0,2.04,0.718,0.253,1,0.0094,10.31,0.17,2.21,252.3,-0.697,16.7,41.8,63.5,34.8
07-05-2010,4.4,17.7,22.8,14.1,60.3,3.7,0.1276,49.3,2036.0,1.84,0.8,0.617,2,0.0038,6.86,3.08,0.1,347.6,-0.567,17.4,44.5,67.7,33.98
08-05-2010,4.0,18.1,25.4,14.0,69.9,2.8,0.1417,19.5,2042.0,2.0,0.798,0.408,0,0.0098,6.23,0.76,0.24,251.0,0.115,18.8,41.3,67.3,32.89
09-05-2010,6.1,18.2,25.1,12.0,52.5,7.1,0.1537,30.7,1949.0,2.0,0.746,0.435,2,0.0006,10.37,1.72,0.19,333.6,-0.022,14.5,37.6,68.9,34.05
10-05-2010,15.5,18.7,26.3,14.3,52.9,1.9,0.2224,30.9,1950.0,3.17,0.734,0.111,0,0.0021,13.44,3.96,0.3,278.0,-0.2,25.6,46.7,82.8,44.45
11-05-2010,12.2,18.6,24.8,13.3,62.4,6.2,0.1537,33.9,2075.0,2.21,0.671,0.444,0,0.0028,7.8,2.4,2.39,69.7,0.035,33.8,55.2,88.6,49.98
12-05-2010,16.4,19.1,22.9,14.0,59.0,0.2,0.1467,31.9,2035.0,2.09,0.745,0.444,0,0.0048,10.91,1.37,1.22,194.4,-0.034,44.1,69.0,102.8,58.88
13-05-2010,14.3,18.6,23.8,13.4,68.6,2.6,0.2086,27.6,2015.0,1.8,0.687,0.65,0,0.0062,15.31,1.82,0.16,266.7,-0.047,42.9,72.9,114.7,64.35
14-05-2010,6.6,16.9,24.9,12.2,47.8,5.6,0.2069,27.1,2039.0,1.8,0.708,0.435,1,0.0029,11.63,0.55,0.67,104.3,0.081,37.3,75.1,119.6,61.3
