time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),rain_sum (mm),precipitation_hours (h),relative_humidity_2m_mean (%),dew_point_2m_mean (°C),cloud_cover_mean (%),wind_speed_10m_mean (km/h),wind_gusts_10m_max (km/h),pressure_msl_mean (hPa),soil_moisture_0_to_7cm_mean (m³/m³),soil_moisture_7_to_28cm_mean (m³/m³),soil_temperature_0_to_7cm_mean (°C),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm),vapour_pressure_deficit_max (kPa),river_discharge (cumecs),water_level (m),reservoir_storage_pct (%),antecedent_precip_index (mm),catchment_wetness_index
26-01-2010,27.1,31.2,23.0,0.3,0.3,1.0,37.6,14.6,11.9,7.9,20.9,1009.0,0.05,0.05,26.1,2.48,1.1,2.24,65.6,2.53,5.0,0.5,8.81
27-01-2010,27.1,31.1,23.2,0.0,0.0,0.0,20.0,11.1,6.1,9.5,17.9,1009.9,0.05,0.05,26.1,6.07,3.63,3.53,74.5,3.06,5.0,0.4,7.04
28-01-2010,27.1,31.8,22.4,0.0,0.0,0.0,20.0,11.1,7.7,8.7,13.6,1003.4,0.05,0.05,26.0,6.66,3.24,3.38,63.9,2.68,5.0,0.4,7.04
29-01-2010,26.9,30.7,23.1,0.0,0.0,0.0,20.0,10.9,11.6,11.9,18.3,1009.5,0.05,0.05,25.9,6.46,3.18,3.03,61.6,2.52,5.0,0.3,7.03
30-01-2010,26.9,30.8,23.1,0.0,0.0,0.0,20.0,10.9,33.2,13.7,30.4,1008.5,0.05,0.05,25.9,8.09,3.4,3.02,41.5,2.01,5.0,0.3,7.03
31-01-2010,27.0,31.5,22.4,0.0,0.0,0.0,20.0,11.0,5.7,8.1,13.0,1010.6,0.05,0.05,25.9,4.12,2.75,3.16,47.4,2.71,5.0,0.2,7.02
01-02-2010,27.4,31.6,23.2,0.0,0.0,0.0,20.0,11.4,15.5,7.5,16.5,1011.1,0.05,0.05,26.3,4.89,2.21,3.32,36.0,2.86,5.0,0.2,7.02
02-02-2010,27.9,33.1,22.8,0.0,0.0,0.0,20.0,11.9,0.0,9.7,15.0,1013.8,0.05,0.05,26.7,5.55,3.18,3.07,36.8,2.29,5.0,0.2,7.02
03-02-2010,28.1,32.3,24.0,0.0,0.0,0.0,20.0,12.1,2.1,9.1,14.1,1009.5,0.05,0.05,26.9,4.53,3.13,3.15,41.2,2.75,5.0,0.1,7.01
04-02-2010,28.1,32.4,23.9,0.0,0.0,0.0,20.0,12.1,10.2,7.0,15.9,1010.6,0.05,0.05,26.9,6.01,3.56,3.09,32.7,2.64,5.0,0.1,7.01
05-02-2010,28.1,32.0,24.2,0.0,0.0,0.0,20.0,12.1,0.0,10.3,20.2,1011.9,0.05,0.05,26.9,5.71,3.67,3.66,44.8,2.35,5.0,0.1,7.01
06-02-2010,28.0,32.5,23.6,0.1,0.1,1.0,30.4,14.1,16.5,1.0,1.5,1011.1,0.05,0.05,26.8,3.43,2.98,2.63,54.4,2.63,12.6,0.2,8.06
07-02-2010,28.2,33.5,22.9,0.0,0.0,0.0,20.0,12.2,16.2,5.7,9.4,1012.9,0.05,0.05,27.0,7.3,4.14,3.37,56.3,2.64,5.0,0.2,7.02
08-02-2010,28.3,33.4,23.1,0.0,0.0,0.0,20.0,12.3,19.0,13.0,21.3,1012.8,0.05,0.05,27.0,3.14,1.72,3.24,49.9,2.66,5.0,0.1,7.01
09-02-2010,28.2,33.3,23.1,0.0,0.0,0.0,20.0,12.2,0.0,9.9,16.5,1009.8,0.05,0.05,27.0,9.47,3.9,3.48,40.7,2.36,5.0,0.1,7.01
10-02-2010,28.2,34.0,22.4,0.0,0.0,0.0,20.0,12.2,11.7,4.0,8.6,1014.3,0.05,0.05,26.9,6.64,3.44,3.32,32.8,2.19,5.0,0.1,7.01
11-02-2010,27.7,31.6,23.9,0.1,0.1,2.0,20.0,11.7,31.1,9.0,20.5,1006.7,0.05,0.05,26.6,1.95,2.47,3.13,41.2,2.1,7.8,0.2,7.02
12-02-2010,28.1,32.4,23.8,0.2,0.2,1.0,20.3,12.1,33.1,8.2,14.5,1014.5,0.05,0.05,26.9,2.67,2.34,3.03,59.0,2.22,11.6,0.4,7.07
13-02-2010,28.2,33.6,22.8,0.0,0.0,0.0,26.1,13.4,20.6,10.8,21.5,1014.4,0.05,0.05,27.0,11.7,5.05,2.83,64.3,2.44,5.0,0.3,7.64
14-02-2010,28.6,33.4,23.8,0.8,0.8,1.0,29.0,14.4,25.6,6.1,12.6,1009.9,0.05,0.05,27.3,3.11,1.74,2.78,119.4,2.44,5.2,1.1,8.01
15-02-2010,28.1,32.4,23.8,0.0,0.0,0.0,22.7,12.6,2.3,11.1,16.8,1015.9,0.05,0.05,26.9,6.06,2.97,2.94,107.0,2.46,14.4,0.9,7.36
16-02-2010,28.0,31.7,24.2,0.0,0.0,0.0,20.0,12.0,11.8,10.0,22.0,1015.0,0.073,0.069,26.8,6.44,3.82,3.23,106.0,2.65,5.0,0.8,9.38
17-02-2010,27.7,32.9,22.5,0.0,0.0,0.0,28.3,13.4,0.0,5.7,15.0,1017.7,0.05,0.05,26.6,8.39,4.07,2.67,53.0,2.47,14.6,0.6,7.89
18-02-2010,27.8,33.5,22.1,1.1,1.1,1.0,23.8,12.6,48.3,10.5,16.6,1016.9,0.05,0.05,26.6,4.31,2.68,2.85,109.5,2.67,9.5,1.7,7.55
19-02-2010,27.6,32.0,23.2,0.0,0.0,0.0,22.4,12.1,9.2,12.6,20.2,1016.4,0.05,0.05,26.5,6.9,3.53,2.87,110.6,2.7,17.9,1.4,7.38
20-02-2010,28.0,34.9,21.1,0.0,0.0,0.0,20.0,12.0,36.0,7.9,13.2,1015.5,0.05,0.05,26.8,5.53,3.14,3.52,119.6,2.55,5.0,1.2,7.12
21-02-2010,28.1,32.5,23.7,0.0,0.0,0.0,20.0,12.1,38.0,14.5,24.9,1006.9,0.05,0.05,26.9,9.94,4.31,3.17,40.0,2.45,15.3,1.0,7.1
22-02-2010,28.2,32.3,24.2,0.0,0.0,0.0,22.2,12.7,0.0,11.9,20.3,1013.8,0.05,0.05,27.0,15.19,6.0,2.98,35.5,2.68,5.0,0.9,7.31
23-02-2010,27.7,32.4,23.0,0.0,0.0,0.0,24.9,12.7,15.9,15.0,26.7,1010.1,0.05,0.05,26.5,12.01,4.73,2.79,30.3,2.51,15.7,0.7,7.56
24-02-2010,27.7,31.8,23.6,0.0,0.0,0.0,20.0,11.7,24.2,13.9,21.3,1010.7,0.05,0.05,26.6,8.56,4.25,3.19,42.9,2.49,5.8,0.6,7.06
25-02-2010,28.1,33.0,23.2,0.0,0.0,0.0,20.1,12.1,14.8,12.3,19.7,1011.1,0.05,0.05,26.9,4.14,2.24,3.04,30.4,2.43,12.5,0.5,7.06
26-02-2010,28.5,33.4,23.7,0.0,0.0,0.0,20.0,12.5,13.1,11.8,26.5,1013.0,0.05,0.05,27.3,9.63,3.41,3.39,41.8,2.47,24.4,0.4,7.04
27-02-2010,28.6,32.0,25.2,0.0,0.0,0.0,25.5,13.7,49.3,17.8,26.9,1017.4,0.05,0.05,27.3,10.01,5.21,2.92,38.2,2.36,11.3,0.4,7.59
28-02-2010,28.9,33.3,24.4,0.0,0.0,0.0,20.0,12.9,29.3,11.0,17.6,1012.0,0.05,0.05,27.6,10.12,4.19,3.23,46.1,2.38,14.1,0.3,7.03
01-03-2010,29.0,33.9,24.1,0.0,0.0,0.0,32.1,15.4,24.9,8.9,24.3,1012.3,0.05,0.05,27.7,12.79,4.08,2.72,34.1,2.19,9.1,0.3,8.24
02-03-2010,29.5,34.8,24.1,0.0,0.0,0.0,27.7,15.0,29.4,9.3,14.0,1017.7,0.05,0.05,28.0,10.64,4.98,2.97,39.9,2.52,7.2,0.2,7.79
03-03-2010,29.3,33.2,25.4,0.4,0.4,3.0,40.4,17.4,61.2,6.1,10.3,1012.5,0.05,0.05,27.9,5.41,3.27,2.43,55.7,2.79,19.9,0.6,9.1
04-03-2010,29.4,33.6,25.1,0.0,0.0,0.0,20.0,13.4,12.3,12.2,21.1,1007.0,0.05,0.05,27.9,7.87,3.97,3.31,65.3,2.64,8.3,0.5,7.05
05-03-2010,29.2,33.9,24.4,0.0,0.0,0.0,22.4,13.7,38.5,4.7,7.1,1010.7,0.05,0.05,27.8,10.7,5.04,3.14,67.8,2.35,8.3,0.4,7.28
06-03-2010,29.5,34.3,24.7,0.0,0.0,0.0,20.0,13.5,31.1,8.0,19.2,1012.9,0.078,0.069,28.0,10.1,4.96,3.29,44.1,2.61,5.0,0.4,9.84
07-03-2010,29.4,33.2,25.5,0.0,0.0,0.0,32.7,15.9,20.7,11.7,29.4,1008.5,0.05,0.05,28.0,13.46,4.47,2.75,35.7,2.55,13.3,0.3,8.3
08-03-2010,29.4,34.7,24.1,0.0,0.0,0.0,21.5,13.7,31.6,9.6,19.4,1010.7,0.05,0.05,28.0,10.52,4.73,3.22,32.8,2.7,6.9,0.3,7.18
09-03-2010,29.0,34.3,23.7,4.9,4.9,2.0,36.0,16.2,64.4,10.6,16.9,1017.0,0.063,0.056,27.6,4.93,2.26,2.56,375.3,2.69,32.9,5.1,10.41
10-03-2010,28.9,33.5,24.3,0.8,0.8,3.0,20.0,12.9,49.1,12.6,22.7,1022.9,0.05,0.05,27.6,7.17,3.42,3.21,429.7,2.36,13.2,5.2,7.52
11-03-2010,29.0,35.0,23.1,0.0,0.0,0.0,22.4,13.5,34.9,5.5,8.3,1010.0,0.078,0.081,27.7,9.91,3.62,3.11,435.5,2.28,18.5,4.4,10.48
12-03-2010,28.9,33.9,24.0,0.0,0.0,0.0,26.2,14.2,54.4,15.5,49.6,1012.0,0.05,0.05,27.6,14.03,4.84,2.94,88.5,2.85,19.9,3.7,7.99
13-03-2010,28.8,33.9,23.7,0.0,0.0,0.0,28.5,14.5,16.5,11.6,20.3,1010.1,0.057,0.05,27.5,10.31,3.84,2.83,33.1,2.85,23.2,3.2,8.87
14-03-2010,28.5,33.0,24.1,0.0,0.0,0.0,39.1,16.4,22.0,12.2,25.3,1014.5,0.079,0.074,27.3,7.8,3.86,2.38,36.5,2.34,21.7,2.7,12.08
15-03-2010,28.6,33.3,23.9,0.0,0.0,0.0,33.3,15.3,33.2,11.0,18.6,1017.6,0.05,0.05,27.3,10.07,4.58,2.61,48.8,2.39,20.3,2.3,8.56
16-03-2010,28.4,34.3,22.5,7.0,7.0,1.0,40.0,16.4,52.9,9.4,18.5,1018.5,0.05,0.05,27.1,4.41,2.14,2.32,525.7,2.76,5.9,8.9,9.89
17-03-2010,28.6,33.1,24.1,0.0,0.0,0.0,28.0,14.2,54.0,14.6,28.6,1022.5,0.077,0.065,27.3,10.13,3.17,2.82,512.8,2.48,19.7,7.6,11.26
18-03-2010,28.9,33.2,24.6,0.0,0.0,0.0,34.3,15.7,51.5,13.1,23.2,1012.4,0.062,0.055,27.6,13.81,5.06,2.61,527.2,2.72,31.9,6.5,10.28
19-03-2010,29.2,35.0,23.4,0.0,0.0,0.0,32.6,15.7,9.9,13.7,22.4,1015.6,0.051,0.05,27.8,10.22,4.36,2.73,33.4,2.69,20.5,5.5,8.91
20-03-2010,28.9,32.7,25.2,0.0,0.0,0.0,26.0,14.1,40.8,14.8,23.4,1015.0,0.061,0.054,27.6,10.93,4.57,2.95,30.4,2.69,23.1,4.7,9.17
21-03-2010,28.8,33.5,24.2,0.0,0.0,0.0,35.7,16.0,22.3,9.9,15.6,1012.0,0.05,0.059,27.5,12.33,4.12,2.55,37.3,2.69,33.6,4.0,8.97
22-03-2010,29.0,34.0,24.1,0.0,0.0,0.0,30.9,15.2,66.2,4.1,6.3,1008.6,0.094,0.088,27.7,12.8,5.27,2.78,36.4,2.58,17.8,3.4,12.83
23-03-2010,29.2,32.7,25.8,0.0,0.0,0.0,43.1,17.9,45.5,14.7,22.8,1009.8,0.054,0.05,27.8,12.76,5.17,2.31,40.4,2.57,30.2,2.9,10.0
24-03-2010,29.1,33.3,24.9,0.0,0.0,0.0,34.1,15.9,42.0,11.4,18.4,1012.8,0.1,0.088,27.8,13.87,5.53,2.66,33.7,2.66,15.7,2.4,13.65
25-03-2010,28.7,32.6,24.8,0.0,0.0,0.0,34.4,15.6,37.4,8.9,14.1,1013.0,0.078,0.068,27.4,10.02,4.24,2.58,34.0,2.71,34.6,2.1,11.45
26-03-2010,28.5,33.0,24.0,0.0,0.0,0.0,46.6,17.8,36.1,9.3,15.3,1012.3,0.085,0.07,27.2,10.59,4.19,2.08,38.6,2.64,25.7,1.8,13.34
27-03-2010,28.4,33.3,23.6,0.0,0.0,0.0,42.8,17.0,0.0,6.4,12.1,1017.6,0.108,0.13,27.2,12.15,4.38,2.22,30.2,2.39,11.8,1.5,15.23
28-03-2010,28.6,33.2,24.1,0.0,0.0,0.0,42.9,17.2,46.9,8.5,14.0,1014.0,0.092,0.088,27.3,15.42,5.04,2.24,35.4,2.32,38.8,1.3,13.62
29-03-2010,28.9,33.1,24.8,0.0,0.0,0.0,34.3,15.8,44.1,10.0,17.7,1015.2,0.082,0.063,27.6,16.55,5.51,2.62,32.9,2.69,23.4,1.1,11.74
30-03-2010,29.2,35.3,23.2,0.0,0.0,0.0,27.7,14.7,41.0,9.7,16.6,1018.3,0.075,0.084,27.8,14.61,5.51,2.93,26.9,2.53,30.3,0.9,10.36
31-03-2010,29.6,34.2,24.9,0.0,0.0,0.0,30.0,15.6,37.6,17.1,26.9,1016.9,0.092,0.066,28.1,8.98,4.48,2.9,36.9,2.72,59.2,0.8,12.28
01-04-2010,29.8,35.1,24.5,1.0,1.0,1.0,53.4,20.5,53.5,12.0,21.5,1012.7,0.074,0.082,28.3,10.05,3.08,1.96,140.8,2.56,42.4,1.7,12.91
02-04-2010,30.0,35.5,24.4,0.0,0.0,0.0,53.6,20.7,51.9,6.1,9.5,1015.3,0.091,0.1,28.5,11.71,5.02,1.97,160.1,2.44,40.6,1.4,14.6
03-04-2010,29.9,34.3,25.5,0.0,0.0,0.0,35.1,16.9,43.5,18.1,30.8,1018.5,0.125,0.121,28.4,11.81,4.61,2.74,160.8,2.43,22.0,1.2,16.13
04-04-2010,30.0,35.3,24.7,0.0,0.0,0.0,60.6,22.1,28.3,19.8,34.6,1013.3,0.054,0.05,28.5,14.15,5.35,1.67,90.2,2.69,23.5,1.0,11.56
05-04-2010,30.2,35.8,24.6,0.0,0.0,0.0,44.4,19.1,66.5,8.0,13.0,1015.9,0.081,0.065,28.7,12.98,4.1,2.39,85.9,2.77,45.0,0.9,12.63
06-04-2010,30.4,36.5,24.2,0.5,0.5,1.0,60.0,22.4,39.5,12.0,26.0,1018.6,0.062,0.058,28.8,5.52,2.07,1.74,127.1,2.43,28.9,1.2,12.32
07-04-2010,30.2,35.3,25.2,0.0,0.0,0.0,32.7,16.8,49.6,16.9,28.3,1017.7,0.097,0.097,28.7,15.74,4.87,2.9,98.3,2.74,31.6,1.1,13.08
08-04-2010,30.0,35.7,24.3,0.0,0.0,0.0,54.2,20.9,51.1,11.7,19.4,1015.0,0.098,0.081,28.5,12.52,4.3,1.95,104.2,2.45,38.3,0.9,15.31
09-04-2010,29.9,35.6,24.2,4.3,4.3,1.0,58.9,21.7,71.6,11.8,18.1,1012.4,0.069,0.068,28.4,5.1,1.91,1.73,408.9,2.81,28.2,5.1,13.3
10-04-2010,29.9,35.7,24.1,0.9,0.9,1.0,62.1,22.3,83.4,12.8,27.9,1016.7,0.117,0.1,28.4,7.23,2.03,1.6,459.3,2.43,31.8,5.2,18.43
11-04-2010,30.0,34.7,25.3,0.0,0.0,0.0,26.3,15.2,27.8,16.5,30.1,1012.3,0.114,0.103,28.5,11.9,5.13,3.13,444.7,2.5,33.9,4.4,14.47
12-04-2010,29.7,34.4,25.1,0.0,0.0,0.0,54.2,20.6,34.2,14.2,22.5,1015.5,0.05,0.05,28.3,13.18,4.56,1.91,161.8,2.46,42.8,3.8,10.8
13-04-2010,29.3,34.8,23.9,0.0,0.0,0.0,55.0,20.3,23.6,9.7,17.3,1014.8,0.106,0.087,27.9,14.37,4.99,1.84,89.0,2.62,29.9,3.2,16.42
14-04-2010,29.5,33.9,25.0,0.0,0.0,0.0,41.3,17.7,52.1,10.5,17.0,1012.0,0.11,0.08,28.0,14.51,6.22,2.42,71.6,2.44,53.1,2.7,15.4
15-04-2010,29.7,34.4,24.9,3.9,3.9,3.0,54.3,20.5,70.6,13.9,20.9,1014.2,0.167,0.155,28.2,8.13,3.35,1.9,366.9,2.78,53.2,6.2,22.75
16-04-2010,30.0,35.1,24.9,4.8,4.8,1.0,58.4,21.7,76.8,11.1,19.7,1015.8,0.088,0.098,28.5,7.21,3.44,1.76,675.9,2.71,44.7,10.1,15.65
17-04-2010,29.7,35.6,23.7,0.0,0.0,0.0,55.0,20.7,72.8,13.6,23.0,1018.0,0.155,0.148,28.2,15.55,5.51,1.87,710.7,2.65,44.4,8.6,21.86
18-04-2010,29.7,35.7,23.6,0.8,0.8,2.0,68.6,23.4,56.9,8.6,13.9,1009.7,0.111,0.115,28.2,8.14,3.44,1.31,468.7,2.45,30.8,8.1,18.77
19-04-2010,29.6,34.8,24.4,0.0,0.0,0.0,45.0,18.6,58.3,11.2,18.7,1008.3,0.132,0.112,28.1,17.38,6.4,2.28,137.7,2.83,24.8,6.9,18.39
20-04-2010,30.0,34.0,26.0,0.0,0.0,0.0,62.7,22.5,26.5,17.1,28.3,1018.1,0.075,0.065,28.5,12.88,5.25,1.58,135.0,2.57,41.8,5.8,14.35
21-04-2010,29.8,34.8,24.8,0.0,0.0,0.0,54.8,20.7,41.0,13.6,20.6,1015.8,0.178,0.157,28.3,17.69,6.27,1.89,81.8,2.22,48.3,5.0,23.78
22-04-2010,29.7,35.3,24.2,0.0,0.0,0.0,55.1,20.8,59.6,8.8,14.5,1014.7,0.14,0.133,28.3,15.47,5.06,1.88,102.0,2.56,41.7,4.2,19.93
23-04-2010,29.5,33.2,25.8,3.4,3.4,2.0,73.1,24.2,81.3,11.5,18.3,1015.6,0.162,0.151,28.1,8.73,2.81,1.11,316.3,2.5,37.9,7.0,24.21
24-04-2010,29.8,33.9,25.6,1.5,1.5,1.0,70.9,23.9,69.1,10.2,18.4,1013.3,0.161,0.146,28.3,7.51,4.26,1.22,422.4,2.74,49.8,7.4,23.93
25-04-2010,30.0,33.3,26.7,0.6,0.6,2.0,63.0,22.6,77.5,11.1,17.0,1014.9,0.136,0.117,28.5,8.4,4.19,1.57,459.3,3.02,45.8,6.9,20.59
26-04-2010,30.1,35.7,24.5,0.0,0.0,0.0,47.8,19.7,48.6,10.5,22.1,1015.0,0.165,0.15,28.6,13.98,6.37,2.23,215.8,2.59,43.0,5.9,21.87
27-04-2010,30.1,34.6,25.7,0.0,0.0,0.0,50.4,20.2,40.0,13.7,20.6,1016.9,0.158,0.133,28.6,17.48,6.23,2.12,125.7,2.62,60.6,5.0,21.34
28-04-2010,30.0,35.1,24.8,0.0,0.0,0.0,46.2,19.2,58.4,9.7,17.8,1019.2,0.149,0.133,28.5,19.97,7.15,2.28,99.4,2.2,35.8,4.3,19.95
29-04-2010,29.8,33.8,25.9,0.0,0.0,0.0,56.7,21.2,59.6,12.1,24.2,1013.1,0.153,0.166,28.3,17.38,6.47,1.82,76.3,2.47,52.9,3.6,21.33
30-04-2010,29.7,34.5,24.9,0.0,0.0,0.0,59.4,21.6,52.4,12.6,21.2,1013.5,0.165,0.15,28.2,15.38,5.85,1.69,70.2,2.56,49.1,3.1,22.75
01-05-2010,29.4,34.7,24.1,20.7,20.7,5.0,65.4,22.5,84.2,5.9,11.2,1015.5,0.171,0.176,28.0,7.78,3.3,1.42,1739.2,2.78,61.5,23.3,25.97
02-05-2010,29.1,33.2,25.0,7.5,7.5,2.0,58.5,20.8,96.0,14.3,30.6,1018.1,0.221,0.202,27.8,8.72,3.32,1.67,2161.5,2.61,42.5,27.3,30.68
03-05-2010,29.0,32.7,25.2,0.6,0.6,1.0,68.5,22.7,79.2,12.6,21.2,1015.1,0.176,0.143,27.6,8.69,3.49,1.26,2248.8,2.93,29.8,23.8,26.83
04-05-2010,29.2,33.3,25.0,0.9,0.9,1.0,47.4,18.6,75.5,14.7,25.8,1017.7,0.159,0.151,27.8,9.64,3.92,2.13,876.3,2.78,44.6,21.1,22.75
05-05-2010,29.2,33.3,25.1,5.5,5.5,2.0,78.4,24.9,95.2,12.9,22.8,1015.5,0.189,0.168,27.8,7.91,2.91,0.87,751.3,2.22,43.6,23.5,29.09
06-05-2010,29.2,32.1,26.4,6.1,6.1,1.0,72.1,23.7,85.4,9.1,14.5,1008.2,0.139,0.118,27.9,9.1,3.34,1.14,1124.4,2.27,46.8,26.1,23.72
07-05-2010,29.3,34.5,24.0,0.4,0.4,1.0,74.8,24.2,93.5,9.2,15.3,1021.0,0.209,0.173,27.9,9.46,3.72,1.02,1075.7,3.18,62.6,22.5,30.63
08-05-2010,29.5,34.7,24.2,4.4,4.4,4.0,66.1,22.7,83.6,11.0,17.3,1012.2,0.203,0.182,28.0,8.17,3.8,1.39,975.8,2.45,52.1,23.6,29.27
09-05-2010,29.4,33.5,25.3,6.4,6.4,3.0,65.3,22.5,68.6,16.1,28.5,1012.8,0.194,0.177,28.0,9.0,4.48,1.42,1041.6,2.55,56.3,26.4,28.57
10-05-2010,29.1,35.4,22.8,11.7,11.7,2.0,52.3,19.5,79.1,7.7,14.9,1011.2,0.155,0.139,27.7,9.52,3.81,1.92,1821.4,2.67,70.6,34.2,24.15
11-05-2010,28.9,32.6,25.2,0.0,0.0,0.0,72.1,23.3,100.0,13.4,20.4,1011.6,0.223,0.215,27.5,9.98,4.02,1.11,1516.1,2.52,48.3,29.0,32.41
12-05-2010,28.9,32.3,25.6,19.5,19.5,1.0,74.4,23.8,87.7,13.3,24.3,1020.6,0.222,0.217,27.6,8.61,3.44,1.02,2491.4,2.74,59.3,44.2,34.06
13-05-2010,28.7,32.8,24.6,2.1,2.1,1.0,51.9,19.1,95.0,14.2,27.7,1017.7,0.226,0.203,27.4,8.0,4.04,1.9,1852.7,2.67,58.6,39.7,31.76
